"order_date","order_id","user_id","product_name","province","shipping_option","total_amount","order_status"
"2024-01-01","2401010SUFTB5O","ploy_55","🔩 น็อตล้อกันขโมย Tesla Model 3 TeslaEdge | Anti-theft Lug Nuts Set สแตนเลส","จังหวัดปัตตานี","Standard Delivery - ส่งธรรมดาในประเทศ-SPX Express","1954.0","สำเร็จแล้ว"
"2024-01-01","240101DF940XTR","book.thai","🧻 ที่ใส่ทิชชู่ในรถ Tesla TeslaEdge | Tissue Box Holder หนัง PU สไตล์มินิมอล","จังหวัดนนทบุรี","Standard Delivery - ส่งธรรมดาในประเทศ-J&T Express","336.0","สำเร็จแล้ว"
"2024-01-01","240101H1K9ROLU","prae.bkk","📱 ที่เก็บของใต้เบาะ Tesla Model 3 TeslaEdge | Under Seat Storage Box กล่องซ่อนของ","จังหวัดกาญจนบุรี","Standard Delivery - ส่งธรรมดาในประเทศ-SPX Express","402.0","สำเร็จแล้ว"
"2024-01-01","240101MMUP4MUE","dreamev","🌊 บังโคลน Tesla Model Y TeslaEdge | Mud Flaps กันน้ำกันโคลน 4 ชิ้น","จังหวัดนครศรีธรรมราช","Standard Delivery - ส่งธรรมดาในประเทศ-SPX Express","914.0","สำเร็จแล้ว"
"2024-01-01","2401011AW5ZGR9","winreal","🔦 ไฟท้ายรถอัปเกรด LED Tesla Model Y TeslaEdge | Trunk LED Upgrade Kit สว่างขึ้น 200%","จังหวัดนนทบุรี","Standard Delivery - ส่งธรรมดาในประเทศ-J&T Express","806.0","สำเร็จแล้ว"
"2024-01-02","240102SR7S3GWS","star_real","🪟 ม่านบังแดดหน้าต่าง Tesla Model Y TeslaEdge | Sunshade Window Privacy ม่านพับได้ ครบชุด","จังหวัดสมุทรสงคราม","Standard Delivery - ส่งธรรมดาในประเทศ-Flash Express","887.0","สำเร็จแล้ว"
"2024-01-02","240102AYQ9426G","nut.1990","🔌 USB Hub อเนกประสงค์ Tesla Model S TeslaEdge | USB Hub 4-Port PD Fast Charge ช่องคอนโซล","จังหวัดชุมพร","Standard Delivery - ส่งธรรมดาในประเทศ-SPX Express","1463.0","สำเร็จแล้ว"
"2024-01-02","240102594DHOSJ","sand.hub","💨 ลิ้นหน้า Tesla Model 3 TeslaEdge | Front Lip Splitter สไตล์สปอร์ต ABS","จังหวัดพะเยา","Standard Delivery - ส่งธรรมดาในประเทศ-Kerry","2122.0","สำเร็จแล้ว"
"2024-01-02","240102MJ6ZG8XX","bowcool","🛰️ กล้องถอยหลัง Wireless Tesla Model Y TeslaEdge | Reverse Camera HD Wireless ติดตั้งง่าย","จังหวัดกระบี่","Standard Delivery - ส่งธรรมดาในประเทศ-J&T Express","7734.0","สำเร็จแล้ว"
"2024-01-02","2401025M9RCHNU","rometesla","🔗 ตาข่ายกั้นท้ายรถ Tesla Model 3 TeslaEdge | Cargo Net Trunk กันของตก ยืดหยุ่นสูง","จังหวัดเชียงใหม่","Standard Delivery - ส่งธรรมดาในประเทศ-SPX Express","290.0","สำเร็จแล้ว"
